practice_slug,professional_slug,timezone,slot_start_utc,slot_end_utc
practice-001,pro-001,America/New_York,2026-06-01T14:00:00Z,2026-06-01T14:30:00Z
practice-002,pro-002,America/Chicago,2026-06-01T15:00:00Z,2026-06-01T15:30:00Z
practice-003,pro-003,America/Denver,2026-06-01T16:00:00Z,2026-06-01T16:30:00Z
practice-004,pro-004,America/Los_Angeles,2026-06-01T17:00:00Z,2026-06-01T17:30:00Z
practice-005,pro-005,America/New_York,2026-06-02T14:00:00Z,2026-06-02T14:30:00Z
practice-006,pro-006,America/Chicago,2026-06-02T15:00:00Z,2026-06-02T15:30:00Z
practice-007,pro-007,America/Denver,2026-06-02T16:00:00Z,2026-06-02T16:30:00Z
practice-008,pro-008,America/Los_Angeles,2026-06-02T17:00:00Z,2026-06-02T17:30:00Z
practice-009,pro-009,America/New_York,2026-06-03T14:00:00Z,2026-06-03T14:30:00Z
practice-010,pro-010,America/Chicago,2026-06-03T15:00:00Z,2026-06-03T15:30:00Z
practice-011,pro-011,America/Denver,2026-06-03T16:00:00Z,2026-06-03T16:30:00Z
practice-012,pro-012,America/Los_Angeles,2026-06-03T17:00:00Z,2026-06-03T17:30:00Z
practice-013,pro-013,America/New_York,2026-06-04T14:00:00Z,2026-06-04T14:30:00Z
practice-014,pro-014,America/Chicago,2026-06-04T15:00:00Z,2026-06-04T15:30:00Z
practice-015,pro-015,America/Denver,2026-06-04T16:00:00Z,2026-06-04T16:30:00Z
practice-016,pro-016,America/Los_Angeles,2026-06-04T17:00:00Z,2026-06-04T17:30:00Z
practice-017,pro-017,America/New_York,2026-06-05T14:00:00Z,2026-06-05T14:30:00Z
practice-018,pro-018,America/Chicago,2026-06-05T15:00:00Z,2026-06-05T15:30:00Z
practice-019,pro-019,America/Denver,2026-06-05T16:00:00Z,2026-06-05T16:30:00Z
practice-020,pro-020,America/Los_Angeles,2026-06-05T17:00:00Z,2026-06-05T17:30:00Z
practice-021,pro-021,America/New_York,2026-06-06T14:00:00Z,2026-06-06T14:30:00Z
practice-022,pro-022,America/Chicago,2026-06-06T15:00:00Z,2026-06-06T15:30:00Z
practice-023,pro-023,America/Denver,2026-06-06T16:00:00Z,2026-06-06T16:30:00Z
practice-024,pro-024,America/Los_Angeles,2026-06-06T17:00:00Z,2026-06-06T17:30:00Z
practice-025,pro-025,America/New_York,2026-06-07T14:00:00Z,2026-06-07T14:30:00Z
practice-026,pro-026,America/Chicago,2026-06-07T15:00:00Z,2026-06-07T15:30:00Z
practice-027,pro-027,America/Denver,2026-06-07T16:00:00Z,2026-06-07T16:30:00Z
practice-028,pro-028,America/Los_Angeles,2026-06-07T17:00:00Z,2026-06-07T17:30:00Z
practice-029,pro-029,America/New_York,2026-06-08T14:00:00Z,2026-06-08T14:30:00Z
practice-030,pro-030,America/Chicago,2026-06-08T15:00:00Z,2026-06-08T15:30:00Z
practice-031,pro-031,America/Denver,2026-06-08T16:00:00Z,2026-06-08T16:30:00Z
practice-032,pro-032,America/Los_Angeles,2026-06-08T17:00:00Z,2026-06-08T17:30:00Z
practice-033,pro-033,America/New_York,2026-06-09T14:00:00Z,2026-06-09T14:30:00Z
practice-034,pro-034,America/Chicago,2026-06-09T15:00:00Z,2026-06-09T15:30:00Z
practice-035,pro-035,America/Denver,2026-06-09T16:00:00Z,2026-06-09T16:30:00Z
practice-036,pro-036,America/Los_Angeles,2026-06-09T17:00:00Z,2026-06-09T17:30:00Z
practice-037,pro-037,America/New_York,2026-06-10T14:00:00Z,2026-06-10T14:30:00Z
practice-038,pro-038,America/Chicago,2026-06-10T15:00:00Z,2026-06-10T15:30:00Z
practice-039,pro-039,America/Denver,2026-06-10T16:00:00Z,2026-06-10T16:30:00Z
practice-040,pro-040,America/Los_Angeles,2026-06-10T17:00:00Z,2026-06-10T17:30:00Z
practice-041,pro-041,America/New_York,2026-06-11T14:00:00Z,2026-06-11T14:30:00Z
practice-042,pro-042,America/Chicago,2026-06-11T15:00:00Z,2026-06-11T15:30:00Z
practice-043,pro-043,America/Denver,2026-06-11T16:00:00Z,2026-06-11T16:30:00Z
practice-044,pro-044,America/Los_Angeles,2026-06-11T17:00:00Z,2026-06-11T17:30:00Z
practice-045,pro-045,America/New_York,2026-06-12T14:00:00Z,2026-06-12T14:30:00Z
practice-046,pro-046,America/Chicago,2026-06-12T15:00:00Z,2026-06-12T15:30:00Z
